postcode,huisnummer,huisletter,toevoeging,adres,gemeente,omschrijving,bron_url
2516LA,20,,,"Bontekoekade 20, 2516LA 's-Gravenhage",'s-Gravenhage,Definitieve plaatsing op de gemeentelijke monumentenlijst Bontekoekade 13 t/m 20,http://www.monumentenzorgdenhaag.nl/monumenten/bontekoekade-13-tm-20
2551GA,4,,,"Aaltje Noordewierstraat 4, 2551GA 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Aaltje Noordewierstraat 4,http://www.monumentenzorgdenhaag.nl/monumenten/aaltje-noordewierstraat-4
2517KS,21,,,"Scheveningseweg 21, 2517KS 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Scheveningseweg 21,http://www.monumentenzorgdenhaag.nl/monumenten/scheveningseweg-21
2512GW,125,A,,"Westeinde 125A, 2512GW 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Westeinde 125/125a,http://www.monumentenzorgdenhaag.nl/monumenten/westeinde-125-en-125a
2511EB,7,C,,"Korte Poten 7C, 2511EB 's-Gravenhage",'s-Gravenhage,Definitieve inschrijving in het gemeentelijlk monumentenregister van Korte Poten 7-7a-7b-7c,http://www.monumentenzorgdenhaag.nl/monumenten/korte-poten-7-tm-7c
2548AW,1,,,"Laan van Scheltema 1, 2548AW 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Laan van Scheltema 1,http://www.monumentenzorgdenhaag.nl/monumenten/laan-van-scheltema-1
2514KN,40,,,"Christinalaan 40, 2514KN 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Christinalaan 1 t/m 40,http://www.monumentenzorgdenhaag.nl/monumenten/christinalaan-1-tm-40
2585EC,30,,,"Nassauplein 30, 2585EC 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Nassauplein 30,http://www.monumentenzorgdenhaag.nl/monumenten/nassauplein-30
2594AG,157,,,"Bezuidenhoutseweg 157, 2594AG 's-Gravenhage",'s-Gravenhage,Plaatsing in de gemeentelijke monumentenregister:Bezuidenhoutseweg 157,http://www.monumentenzorgdenhaag.nl/monumenten/bezuidenhoutseweg-157
2585TP,98,,,"Celebesstraat 98, 2585TP 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Celebesstraat 98,http://www.monumentenzorgdenhaag.nl/monumenten/celebesstraat-98
2493ZB,124,,,"Veenweg 124, 2493ZB 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijk monumentenregister:Veenweg 124,http://www.monumentenzorgdenhaag.nl/monumenten/veenweg-124
2596HN,47,,,"Raamweg 47, 2596HN 's-Gravenhage",'s-Gravenhage,"Plaatsing in het gemeentelijke monumentenregister:Raamweg naast 47, Tankmuur X.17",http://www.monumentenzorgdenhaag.nl/monumenten/raamweg-naast-nr-47
2512AL,30,,,"Gedempte Gracht 30, 2512AL 's-Gravenhage",'s-Gravenhage,definitieve plaatsing in het monumentenregister van het HEMA-winkelpand met adres Grote Marktstraat 57 / Gedempte Gracht 26 t/m 30,
2517XB,11,,,"Schuytstraat 11, 2517XB 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Schuytstraat 9/11,http://www.monumentenzorgdenhaag.nl/monumenten/schuytstraat-9-en-11
2584BB,35,,,"Keizerstraat 35, 2584BB 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Keizerstraat1/Zeekant 35,http://www.monumentenzorgdenhaag.nl/monumenten/keizerstraat-1-zeekant-35
2563KH,279,,,"Kamperfoeliestraat 279, 2563KH 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Kamperfoelieplein 29/Kamperfoeliestraat 279,http://www.monumentenzorgdenhaag.nl/monumenten/kamperfoelieplein-29-kamperfoeliestraat-279
2512BD,22,D,,"Dunne Bierkade 22D, 2512BD 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Dunne Bierkade 22/22A/22B,http://www.monumentenzorgdenhaag.nl/monumenten/dunne-bierkade-22-tm-22d
2511BC,15,,,"Spuistraat 15, 2511BC 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Spuistraat 15,http://www.monumentenzorgdenhaag.nl/monumenten/spuistraat-13-en-15
2586BB,21,,,"Gevers Deynootweg 21, 2586BB 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Gevers Deynootweg 21,http://www.monumentenzorgdenhaag.nl/monumenten/gevers-deynootweg-21
2555TM,105,,,"Dotterbloemlaan 105, 2555TM 's-Gravenhage",'s-Gravenhage,"Plaatsing in het gemeentelijk monumentenregister:Dotterbloemlaan 48 t/m 88, Dotterbloemlaan 51 t/m 105.",http://www.monumentenzorgdenhaag.nl/monumenten/dotterbloemlaan-48-88-51-105
2512BE,37,,,"Stille Veerkade 37, 2512BE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Stille Veerkade 37,http://www.monumentenzorgdenhaag.nl/monumenten/stille-veerkade-37
2512AX,16,,,"Wagenstraat 16, 2512AX 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister voor Wagenstraat 16 / Grote Marktstraat 36,http://www.monumentenzorgdenhaag.nl/monumenten/wagenstraat-16
2514AE,47,,,"Koninginnegracht 47, 2514AE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Koninginnegracht 47,http://www.monumentenzorgdenhaag.nl/monumenten/koninginnegracht-47
2553PS,10,,,"Johanna Triebelspad 10, 2553PS 's-Gravenhage",'s-Gravenhage,"Definitieve plaatsing monumentenregister, Johanna Triebelspad 10",http://www.monumentenzorgdenhaag.nl/monumenten/johanna-triebelspad-10
2514AE,53,,,"Koninginnegracht 53, 2514AE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Koninginnegracht 53,http://www.monumentenzorgdenhaag.nl/monumenten/koninginnegracht-53
2545CM,14,C,,"Leyweg 14C, 2545CM 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Leyweg 2 t/m 14c,http://www.monumentenzorgdenhaag.nl/monumenten/leyweg-2-tm-14c
2587AC,14,T,,"Nieuwe Duinweg 14T, 2587AC 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Nieuwe Duinweg 6-14,http://www.monumentenzorgdenhaag.nl/monumenten/nieuwe-duinweg-6-tm-14
2545JJ,225,,,"Hengelolaan 225, 2545JJ 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Hengelolaan 225,http://www.monumentenzorgdenhaag.nl/monumenten/hengelolaan-225
2514AB,15,,,"Koninginnegracht 15, 2514AB 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Koninginnegracht 15,http://www.monumentenzorgdenhaag.nl/monumenten/koninginnegracht-15
